Identifiant unique,date,like facebook,carte fidelite,age,enfants,achat,Sexe,Deja achete,Satisfaction,Revenus mensuels,Point de vente,_Point de vente
018eee9e-1bff-488f-b4f0-6038a9591406,10/02/2015,Non,Non,49,2,Aucun,Homme,Aucun,,,Lille,50.6338388 3.0616978
1390a19a-5eb0-421c-b738-aeea24c12c30,20/02/2015,Non,Non,27,2,B,Homme,Aucun,Tres satisfait,3799,Caen,49.1872438 -0.3670671
e0fcc07e-aab6-46c4-8587-92153fa7ca3e,30/01/2015,Non,Non,47,0,Aucun,Homme,A,,2408,Brest,48.3921232 -4.482863
ac2a1fc7-5521-47c5-b3ea-8bb822dacf1e,01/01/2015,Non,Non,55,2,Aucun,Femme,Aucun,,929,Bordeaux,44.8538741 -0.5677843
20e3cb19-e90e-4e2e-9658-f5203adb6f3a,24/02/2015,Non,Non,56,2,Aucun,Homme,Aucun,,820,Brest,48.3921232 -4.482863
cf74123a-7739-47cc-a01a-29cdc32da181,21/01/2015,Non,Oui,26,0,Aucun,Homme,Aucun,,2365,Lille,50.6338388 3.0616978
23752870-2dc1-4b7b-9703-94f739e5e114,19/02/2015,Non,Non,58,1,A,Femme,Aucun,Tres satisfait,4400,Nice,43.6999233 7.2820611
df533bf3-2d24-4fa2-a8e2-239ae1058246,03/01/2015,Oui,Non,68,0,Aucun,Femme,Aucun,,776,Caen,49.1872438 -0.3670671
1f21f7b7-a7e4-4367-ab04-d60c932d9e79,09/01/2015,Non,Oui,27,2,Aucun,Homme,Aucun,,624,Bordeaux,44.8538741 -0.5677843
18cef0cd-432a-4361-b13e-13bb6474dbe8,22/02/2015,Non,Non,42,4,Aucun,Homme,Aucun,,1607,Strasbourg,48.5817339 7.7491749
e5e7c852-d680-40f3-890e-64c36ba0c404,07/01/2015,Non,Non,41,4,B,Femme,Aucun,Tres satisfait,1996,Marseilles,43.2928084 5.373598
54a3e5d1-2ab9-4328-929e-ad50919eb8d1,06/01/2015,Non,Non,46,3,B,Femme,Aucun,Tres satisfait,2783,Strasbourg,48.5817339 7.7491749
46f5cfbb-6835-4ea0-8a53-94131443d086,06/01/2015,Non,Non,25,0,Aucun,Homme,Aucun,,,Lille,50.6338388 3.0616978
9e1bafc5-a7b0-47d8-8e26-4593b852a494,24/02/2015,Non,Non,44,2,Aucun,Homme,Aucun,,,Caen,49.1872438 -0.3670671
f8e3a0e2-a752-4e1f-9213-1659e0e8c033,19/02/2015,Non,Non,45,1,B,Homme,B,Satisfait,2035,Lille,50.6338388 3.0616978
a75e3a93-e39b-46ed-80c6-5d32a4c01e38,23/02/2015,Non,Non,30,1,Aucun,Homme,Aucun,,2048,Bordeaux,44.8538741 -0.5677843
a78bc953-4455-45f5-8476-7b7255f125c5,06/01/2015,Non,Non,56,1,Aucun,Femme,A,,,Montpellier,43.6103604 3.8764686
09f27a8a-a276-4e14-9517-db34b742a21b,27/02/2015,Non,Oui,47,2,B,Femme,Aucun,Satisfait,3372,Nice,43.6999233 7.2820611
01141218-37ff-4a38-84d2-ddbecb065813,08/02/2015,Oui,Non,39,2,Aucun,Femme,Aucun,,787,Strasbourg,48.5817339 7.7491749
5cd7803e-f4cf-4ae8-b809-12a929c454b0,10/01/2015,Non,Non,44,2,Aucun,Homme,Aucun,,,Lille,50.6338388 3.0616978
b4a39529-dd3b-4851-94bf-58f7959157d0,15/01/2015,Non,Non,63,2,Aucun,Femme,Aucun,,1388,Lille,50.6338388 3.0616978
de1fd513-429e-45ca-af11-976bbcddaac6,01/01/2015,Non,Non,27,2,Aucun,Femme,Aucun,,3405,Nantes,47.2237972 -1.6324407
4a444ba3-b6f0-464d-9625-ac788b5a8473,01/02/2015,Non,Non,29,1,Aucun,Homme,Aucun,,3982,Lille,50.6338388 3.0616978
5d9536b4-8a47-41ff-83bf-edee4f431b67,24/02/2015,Non,Non,23,0,B,Homme,Aucun,Tres satisfait,1997,Paris,48.8711538 2.3030992
03d8289b-9087-4935-85c8-0c383668addb,06/02/2015,Non,Non,36,3,B,Femme,Aucun,Tres satisfait,2884,Brest,48.3921232 -4.482863
1114ae03-cfcd-4738-8c2e-6eb59d2850ab,17/02/2015,Non,Non,45,2,Aucun,Homme,A,,2437,Montpellier,43.6103604 3.8764686
2065fce5-aaf6-4f5b-ac91-1dcad9763693,22/01/2015,Non,Oui,44,2,Aucun,Femme,Aucun,,1335,Lille,50.6338388 3.0616978
281b94b3-dc2b-4525-b1e4-0ebe8b96d9b9,23/02/2015,Non,Non,51,0,Aucun,Femme,Aucun,,,Montpellier,43.6103604 3.8764686
f69e903a-1790-4463-8bb8-d97787556473,01/01/2015,Non,Oui,44,1,Aucun,Homme,A,,,Nice,43.6999233 7.2820611
a8afff0d-a7ba-47e2-a0d1-9f606e75da29,14/01/2015,Non,Non,54,0,A,Femme,A,Tres satisfait,5812,Lyon,45.7642761 4.8275658
7151c989-e331-48a1-95e2-e67318981968,23/01/2015,Non,Non,42,0,Aucun,Femme,A,,1456,Lille,50.6338388 3.0616978
5eeee9cf-9d94-4392-b895-f2a92c503112,23/01/2015,Non,Non,34,0,B,Femme,Aucun,Satisfait,5860,Paris,48.8711538 2.3030992
3c446355-64b9-4f4f-8af2-6967b475ab08,18/01/2015,Non,Non,39,1,A,Femme,A,Tres satisfait,2624,Caen,49.1872438 -0.3670671
47ec9e4f-be76-468e-ad7b-af73eb5f2bda,02/02/2015,Non,Non,62,0,B,Femme,Aucun,Satisfait,2757,Lille,50.6338388 3.0616978
45f1f551-0360-4402-8ff6-7d4584f3b2ac,05/02/2015,Non,Non,27,0,Aucun,Femme,Aucun,,4880,Lille,50.6338388 3.0616978
2853e123-ca45-400f-9467-f1229d41d139,13/01/2015,Non,Oui,61,0,Aucun,Homme,A,,,Lyon,45.7642761 4.8275658
4b18d48d-a826-454b-b768-a845cd720fbc,20/01/2015,Non,Non,48,2,B,Femme,Aucun,Satisfait,5483,Paris,48.8711538 2.3030992
b029b4b2-71da-4add-be6f-a7393451ca05,03/02/2015,Non,Oui,28,0,Aucun,Femme,Aucun,,1089,Caen,49.1872438 -0.3670671
7d29e0cf-e787-4f20-9b5d-399acc49f944,02/01/2015,Non,Oui,60,4,B,Homme,Aucun,Satisfait,3274,Nice,43.6999233 7.2820611
021849da-ffab-4745-b4d9-5e4882866e2a,07/01/2015,Oui,Non,54,3,A,Femme,Aucun,Insatisfait,4815,Nice,43.6999233 7.2820611
faf810a5-83bf-4ee5-852d-8cd9a4a17a88,02/01/2015,Non,Non,44,2,B,Homme,B,Peu satisfait,2349,Bordeaux,44.8538741 -0.5677843
5f53f213-c85d-4c2b-8d65-7fff850e32b5,06/01/2015,Non,Non,26,2,B,Homme,B,Tres satisfait,2747,Montpellier,43.6103604 3.8764686
238c8090-daaf-4eee-ade7-c4764ae3a942,13/02/2015,Non,Non,29,1,A,Femme,Aucun,Tres satisfait,4742,Nice,43.6999233 7.2820611
d3560f90-1eea-466e-a232-73f20a8cdced,04/02/2015,Non,Non,27,0,Aucun,Femme,Aucun,,,Montpellier,43.6103604 3.8764686
3e1c0d20-911a-4126-8f09-490d167dc64f,13/01/2015,Non,Oui,29,1,Aucun,Femme,Aucun,,862,Nice,43.6999233 7.2820611
0005b3fb-daa2-4e3d-9298-2bd87da700d9,24/02/2015,Non,Non,72,0,B,Femme,B,Tres satisfait,2405,Bordeaux,44.8538741 -0.5677843
a7c92bf4-47ee-4825-a7cb-ec7e67148155,12/01/2015,Non,Non,43,4,B,Homme,Aucun,Satisfait,3027,Brest,48.3921232 -4.482863
c3cdaf01-3293-47be-9323-d84826920c15,15/02/2015,Non,Non,21,0,B,Homme,B,Satisfait,3072,Paris,48.8711538 2.3030992
b1b999b2-8239-4cad-baff-2d522b3523b2,08/02/2015,Non,Non,19,0,Aucun,Femme,Aucun,,3467,Strasbourg,48.5817339 7.7491749
b56196a2-c536-472a-886c-eb889bd1f806,14/02/2015,Non,Non,34,2,B,Homme,B,Satisfait,4154,Montpellier,43.6103604 3.8764686
a8a78874-04ea-47eb-ab75-3dfb9d424f67,25/02/2015,Non,Non,40,1,B,Homme,B,Peu satisfait,3443,Strasbourg,48.5817339 7.7491749
d5fc7a0c-8a14-4fb3-8634-a0bd9aa519c3,20/01/2015,Non,Oui,36,1,B,Femme,Aucun,Tres satisfait,5181,Nice,43.6999233 7.2820611
5fd853e9-90d3-4178-87db-43f79bfbef43,08/02/2015,Non,Non,51,2,B,Femme,Aucun,Insatisfait,2529,Montpellier,43.6103604 3.8764686
2067af5f-efa2-4d10-a19b-41d8209c64d3,02/01/2015,Non,Non,58,1,Aucun,Homme,Aucun,,919,Lille,50.6338388 3.0616978
fdbd842b-a200-4906-b833-eeba4ee18785,06/01/2015,Non,Non,29,1,Aucun,Homme,A,,1285,Brest,48.3921232 -4.482863
3d823e80-3f45-4ecc-8dc6-48f61cd42b9e,13/02/2015,Non,Non,65,2,Aucun,Homme,Aucun,,924,Lille,50.6338388 3.0616978
99c159e0-fa7d-4f50-94da-2cb8cb91f805,27/02/2015,Non,Non,54,1,Aucun,Femme,Aucun,,1924,Lille,50.6338388 3.0616978
ec196a67-702f-4031-8c4e-afdd530d17b1,19/02/2015,Non,Non,18,0,Aucun,Homme,B,,662,Lille,50.6338388 3.0616978
92fc74b9-b1d6-4dc6-bfe4-8b4cf3b3277d,22/02/2015,Non,Oui,64,2,Aucun,Femme,A,,3238,Nantes,47.2237972 -1.6324407
01ca9bc7-8bcf-41e6-ae66-a053ac47cf30,07/01/2015,Non,Oui,34,1,Aucun,Homme,A,,5645,Marseilles,43.2928084 5.373598
d65b971f-b908-4b97-a07c-cdf763436ce9,02/01/2015,Non,Non,36,1,B,Homme,B,Satisfait,5954,Nice,43.6999233 7.2820611
12e97c62-b49f-4b0c-983a-306da45be620,01/02/2015,Non,Non,43,1,B,Femme,Aucun,Peu satisfait,2224,Caen,49.1872438 -0.3670671
c31c3834-c59e-456e-835e-a4cb1f52babd,30/01/2015,Non,Oui,37,3,Aucun,Homme,B,,,Nice,43.6999233 7.2820611
b7b88945-325e-4a06-9f04-09d4770aebed,17/01/2015,Non,Oui,43,2,B,Femme,B,Satisfait,3773,Nantes,47.2237972 -1.6324407
2c943c02-c8f2-417c-af56-1ca297eb7a49,01/02/2015,Oui,Non,66,0,Aucun,Femme,Aucun,,,Nice,43.6999233 7.2820611
541671f5-2a87-46cb-aedd-f2ed9e712511,03/02/2015,Non,Non,46,0,B,Femme,B,Tres satisfait,2922,Caen,49.1872438 -0.3670671
122b909a-436c-4abf-ac88-e788e9ecbd52,02/02/2015,Non,Non,29,1,Aucun,Homme,A,,2197,Nice,43.6999233 7.2820611
fddd9a0c-e08d-4e4c-8e13-4d97dcfef99b,26/02/2015,Oui,Oui,44,2,Aucun,Homme,A,,,Lyon,45.7642761 4.8275658
cd57b8e9-8b3d-41a3-bc9d-19771bbb2463,16/02/2015,Non,Non,44,0,A,Femme,A,Satisfait,5954,Paris,48.8711538 2.3030992
5f951de5-269f-42c0-bb0b-c7ac85caa313,10/02/2015,Non,Oui,61,4,Aucun,Homme,A,,1275,Nantes,47.2237972 -1.6324407
637a2849-7546-427a-8526-60e6fb349594,05/01/2015,Non,Non,38,1,A,Homme,B,Insatisfait,5749,Nice,43.6999233 7.2820611
789c24d7-5cb1-453a-a336-7cddd50ccd40,02/01/2015,Non,Non,54,0,B,Homme,Aucun,Peu satisfait,1874,Nice,43.6999233 7.2820611
a356ca60-a8b3-4538-984d-d67efc9864f6,11/02/2015,Non,Non,31,1,Aucun,Homme,Aucun,,,Lyon,45.7642761 4.8275658
b02fef04-6be5-40f1-9f10-72baba994ba4,21/01/2015,Non,Non,59,2,B,Homme,B,Insatisfait,3341,Bordeaux,44.8538741 -0.5677843
08adccc9-c97f-442d-bb81-757a59fd268b,26/02/2015,Non,Oui,34,2,Aucun,Femme,A,,1955,Lyon,45.7642761 4.8275658
1cb99412-06e2-4a39-a8ad-2e129c0d7116,26/02/2015,Oui,Non,35,0,Aucun,Homme,Aucun,,,Paris,48.8711538 2.3030992
c4ee522b-9895-435c-b63d-69b7ddcff511,30/01/2015,Oui,Non,50,2,Aucun,Homme,A,,,Strasbourg,48.5817339 7.7491749
e6346f70-f48f-4693-be9c-bd74e8092385,22/02/2015,Non,Non,48,3,Aucun,Homme,Aucun,,,Lille,50.6338388 3.0616978
74f21b50-e540-44b9-a979-f203816a4934,22/02/2015,Oui,Non,24,0,Aucun,Homme,Aucun,,,Paris,48.8711538 2.3030992
8f76a1b9-73c6-443e-9b8a-eb2434129dee,17/02/2015,Non,Non,31,1,B,Femme,A,Satisfait,2374,Nice,43.6999233 7.2820611
09143200-04fa-4c59-9b68-a21348b29449,12/01/2015,Non,Non,25,0,B,Femme,B,Tres satisfait,2170,Lille,50.6338388 3.0616978
4622b20b-4066-41f1-8dd5-5800cdcc1aae,30/01/2015,Non,Non,34,1,A,Femme,Aucun,Satisfait,5585,Caen,49.1872438 -0.3670671
22fdab75-fc1b-49dc-885b-06a6e183aee3,13/02/2015,Non,Non,56,2,Aucun,Homme,Aucun,,3204,Brest,48.3921232 -4.482863
42fa4a34-d940-4344-8c6b-fe1bed194863,25/02/2015,Non,Non,25,0,Aucun,Homme,Aucun,,,Nice,43.6999233 7.2820611
95b5a74b-4768-4de4-9757-9c9f3661f30a,19/02/2015,Oui,Non,51,1,Aucun,Homme,Aucun,,,Strasbourg,48.5817339 7.7491749
dcda12c2-cc6a-4f36-ad13-72c1de5cd468,17/01/2015,Non,Non,24,0,A,Femme,Aucun,Tres satisfait,5142,Paris,48.8711538 2.3030992
49ac096f-3ec1-42fd-b1aa-e7337f6d7fab,09/02/2015,Non,Non,39,3,Aucun,Femme,Aucun,,5916,Lyon,45.7642761 4.8275658
2588c991-fed7-41f2-b12d-9b010ad226a3,17/02/2015,Non,Non,34,0,Aucun,Homme,Aucun,,3388,Marseilles,43.2928084 5.373598
c12315c9-1351-4ade-b336-f88eb88cd530,26/01/2015,Non,Oui,35,1,B,Femme,Aucun,Satisfait,3280,Nantes,47.2237972 -1.6324407
e297ce5b-2c9e-4746-afc9-9d6dafde4a15,03/01/2015,Non,Oui,54,2,Aucun,Homme,A,,2957,Nantes,47.2237972 -1.6324407
15b4bb76-5f7d-42ac-be0b-64d39ff0b396,28/01/2015,Oui,Non,51,1,Aucun,Homme,Aucun,,2451,Brest,48.3921232 -4.482863
f724f224-35eb-483c-8e30-44831be79610,19/02/2015,Non,Non,47,2,Aucun,Femme,A,,,Lille,50.6338388 3.0616978
adbea92e-1e8c-4afd-8aa3-b28c44521855,18/01/2015,Non,Non,22,0,B,Femme,Aucun,Satisfait,2235,Bordeaux,44.8538741 -0.5677843
0ed3dba9-4287-486c-894c-75cc621b3dc3,26/02/2015,Non,Non,48,2,Aucun,Homme,Aucun,,,Nantes,47.2237972 -1.6324407
d734bca0-95c7-48b1-9f0e-6dd5ca94274c,29/01/2015,Non,Oui,59,4,Aucun,Homme,Aucun,,2245,Nantes,47.2237972 -1.6324407
72c9a2e5-6209-4fd8-904c-88b39a54cc69,12/01/2015,Oui,Non,30,2,Aucun,Homme,A,,2475,Marseilles,43.2928084 5.373598
2a9a9627-0d17-4c49-a02a-a98a18484b0d,29/01/2015,Non,Non,63,2,Aucun,Femme,A,,,Nice,43.6999233 7.2820611
8c6faa34-b74d-4868-b4db-e75b9fdd9c0a,04/01/2015,Non,Oui,23,0,B,Homme,Aucun,Satisfait,2470,Nice,43.6999233 7.2820611
74f76251-00f9-428b-9b9d-93e8b0272bfd,31/01/2015,Non,Non,61,1,A,Homme,B,Satisfait,5714,Marseilles,43.2928084 5.373598
490b676a-f343-4b1e-8870-fe908f7be73b,23/01/2015,Non,Non,63,2,Aucun,Homme,Aucun,,1924,Nantes,47.2237972 -1.6324407
5f3eeb88-e2d7-4e22-a2e0-50ae68f3e8e0,14/01/2015,Non,Non,22,0,Aucun,Homme,Aucun,,,Strasbourg,48.5817339 7.7491749
a97c20f3-5abe-4c7c-9605-a329f6bba83b,10/01/2015,Non,Non,48,3,B,Femme,B,Tres satisfait,2648,Caen,49.1872438 -0.3670671
2bef6528-ae12-499d-ad5e-781d9cb77d7d,13/01/2015,Non,Non,40,1,B,Femme,B,Satisfait,1561,Toulouse,43.6031363 1.4428025
3990aa04-e8e6-43dc-817e-abb7ef948a9a,09/01/2015,Non,Non,50,3,Aucun,Femme,Aucun,,,Caen,49.1872438 -0.3670671
f6f454ac-2809-487f-ab1a-a624677aeaac,11/01/2015,Non,Non,29,0,B,Homme,Aucun,Tres satisfait,3340,Caen,49.1872438 -0.3670671
fe88648a-2f6d-4272-ad86-fabcc8b9c156,04/01/2015,Non,Non,41,2,B,Homme,A,Satisfait,3155,Paris,48.8711538 2.3030992
0263112b-4dcb-4722-be03-b573ba253289,07/01/2015,Non,Non,57,2,Aucun,Femme,Aucun,,658,Paris,48.8711538 2.3030992
d87be0f9-d5d5-4ace-9437-1da6ec4d04ba,16/01/2015,Non,Non,55,0,B,Femme,Aucun,Satisfait,5390,Bordeaux,44.8538741 -0.5677843
89d4787d-852d-4808-a42a-c19ff9bbe9ee,30/01/2015,Non,Non,42,0,Aucun,Homme,A,,1631,Bordeaux,44.8538741 -0.5677843
59c5d9bd-8d33-40c5-882f-1c565ffe99fc,21/01/2015,Non,Non,25,0,A,Femme,Aucun,Satisfait,4657,Bordeaux,44.8538741 -0.5677843
e79d5245-bf26-4c45-aaf9-2c005b5305da,27/02/2015,Non,Non,43,1,A,Femme,B,Tres satisfait,5859,Paris,48.8711538 2.3030992
5fe95f5f-72e9-46d9-9a02-c25275c326cb,06/01/2015,Oui,Non,45,2,Aucun,Homme,Aucun,,5188,Paris,48.8711538 2.3030992
b391f2cc-6eb9-4b21-9d34-299ea98263c2,22/01/2015,Non,Oui,35,2,Aucun,Homme,Aucun,,,Caen,49.1872438 -0.3670671
b8e40cad-1757-4d9f-86b4-5eae160fec2f,31/01/2015,Non,Non,58,2,Aucun,Femme,Aucun,,1672,Bordeaux,44.8538741 -0.5677843
b1b5ccb5-0c21-447f-8cb1-28d3d3f730b9,06/01/2015,Non,Non,47,1,Aucun,Femme,A,,3286,Bordeaux,44.8538741 -0.5677843
6772efd7-e2da-4942-b9ce-7d495d39579a,19/02/2015,Non,Non,37,2,Aucun,Homme,Aucun,,,Nice,43.6999233 7.2820611
97dc9051-5087-4810-ae90-0b297a1a1e6b,26/01/2015,Non,Non,40,2,B,Homme,Aucun,Insatisfait,2080,Paris,48.8711538 2.3030992
ae37d298-59c7-4e18-b9ca-db879fb06bf3,26/02/2015,Non,Non,51,0,Aucun,Homme,Aucun,,1001,Lille,50.6338388 3.0616978
59834c96-3ad1-4926-bd6c-fb37e579c7df,11/01/2015,Non,Non,19,0,B,Homme,Aucun,Peu satisfait,2973,Nice,43.6999233 7.2820611
6590f803-19fa-4823-a20d-4fb9cdeb1ccf,09/01/2015,Non,Non,44,2,B,Homme,B,Peu satisfait,3888,Paris,48.8711538 2.3030992
d79157a1-19b7-4fcb-b4aa-e998c7622b0c,10/01/2015,Non,Non,33,2,B,Homme,Aucun,Tres satisfait,2280,Lille,50.6338388 3.0616978
0f608415-a0db-4deb-a468-6d70849d11f2,19/02/2015,Non,Non,43,2,B,Femme,Aucun,Peu satisfait,3558,Nice,43.6999233 7.2820611
a2650174-ec80-457f-bf70-b68f5b9fe5cc,16/02/2015,Non,Non,22,0,Aucun,Homme,Aucun,,1717,Toulouse,43.6031363 1.4428025
886fa7c9-eef5-4a38-bc71-7d8d20b01f73,18/01/2015,Non,Non,61,4,Aucun,Femme,Aucun,,850,Strasbourg,48.5817339 7.7491749
67e7cd22-e439-4f43-8dd9-d2831930e453,19/02/2015,Non,Non,46,1,B,Homme,Aucun,Satisfait,1775,Nice,43.6999233 7.2820611
47a45189-fc84-4686-bd5e-2838b8194c3f,15/02/2015,Non,Non,49,1,Aucun,Femme,Aucun,,,Brest,48.3921232 -4.482863
a80e9b3b-a9ac-49ff-817c-b18eb96994bc,02/01/2015,Non,Oui,28,2,Aucun,Homme,B,,2435,Lille,50.6338388 3.0616978
a78f6624-663a-449c-8cb1-68819d88daf8,27/02/2015,Non,Non,36,1,Aucun,Homme,A,,1448,Toulouse,43.6031363 1.4428025
4ac14a0f-20db-4017-b600-c9ca3d721d2c,30/01/2015,Non,Non,49,0,Aucun,Femme,A,,,Paris,48.8711538 2.3030992
151c8ac4-1b8d-4536-a73f-ce9ade30f7bd,25/02/2015,Non,Oui,54,0,Aucun,Homme,Aucun,,,Lille,50.6338388 3.0616978
03ae50ac-43a3-44c6-83ce-10a3d08a3606,24/01/2015,Non,Non,35,2,Aucun,Homme,A,,760,Caen,49.1872438 -0.3670671
1d819bdd-85a7-4451-b401-ec2a01b3b165,19/02/2015,Non,Oui,49,1,B,Homme,A,Tres satisfait,1856,Lille,50.6338388 3.0616978
9e25e01d-3d6a-4f8a-885d-ed80f1efe30b,17/01/2015,Non,Non,45,0,B,Femme,A,Satisfait,2657,Lille,50.6338388 3.0616978
6b9dd33a-d302-4499-9770-bbb7183973ed,17/02/2015,Non,Non,41,4,A,Femme,B,Insatisfait,5415,Nice,43.6999233 7.2820611
9ed38f2b-7bf9-4f3b-99ac-06b8a5ad9ea5,21/01/2015,Non,Oui,47,4,Aucun,Homme,Aucun,,1056,Nice,43.6999233 7.2820611
698debe8-563d-49a6-93a3-64d5f157abf5,09/01/2015,Oui,Non,34,1,Aucun,Homme,A,,646,Strasbourg,48.5817339 7.7491749
907c3a2a-6c07-4186-9742-e16b7273dc27,04/01/2015,Non,Non,68,0,Aucun,Homme,Aucun,,1849,Paris,48.8711538 2.3030992
7254b92a-67c3-4316-981d-d3c8643c8cb7,12/01/2015,Non,Oui,54,0,Aucun,Homme,Aucun,,1434,Toulouse,43.6031363 1.4428025
6d843051-3baf-4346-b374-81af7f1a17c9,03/02/2015,Non,Non,60,0,Aucun,Homme,Aucun,,1738,Brest,48.3921232 -4.482863
ca98f9f6-f104-4354-be3a-bdd7c800b7de,06/01/2015,Non,Non,44,2,Aucun,Homme,B,,3673,Nice,43.6999233 7.2820611
99783d68-c89b-4e32-b5b9-94fea4fb7ab4,18/02/2015,Oui,Non,71,0,Aucun,Homme,Aucun,,950,Lille,50.6338388 3.0616978
47f60282-aede-47f3-aa59-6367e964299c,17/01/2015,Non,Non,37,1,B,Homme,B,Tres satisfait,2397,Lille,50.6338388 3.0616978
e1f5c754-42fa-4efe-9467-a818b6f923ed,14/02/2015,Non,Oui,39,2,B,Homme,Aucun,Tres satisfait,4423,Bordeaux,44.8538741 -0.5677843
9de28c1d-afe5-488a-968f-2e18c7c1b3f9,26/01/2015,Non,Non,56,1,B,Femme,Aucun,Satisfait,2808,Paris,48.8711538 2.3030992
398f8ccf-8f08-4de8-ac3c-ea54b77b9249,21/01/2015,Oui,Non,36,2,A,Femme,B,Satisfait,4496,Nice,43.6999233 7.2820611
15887e1f-1770-4e74-a040-b22f15ac8d76,05/02/2015,Non,Non,26,1,Aucun,Femme,Aucun,,,Lille,50.6338388 3.0616978
cd02c4ef-9d47-4692-b7b7-cec7813a71fb,15/01/2015,Non,Non,65,2,B,Femme,Aucun,Peu satisfait,2087,Toulouse,43.6031363 1.4428025
5d85b7c7-74c7-4a75-b6cb-28caf5ae0a37,10/01/2015,Oui,Non,49,2,Aucun,Femme,A,,,Lille,50.6338388 3.0616978
afcdb862-6ac2-445c-bc5a-528a33561656,25/02/2015,Oui,Non,44,2,Aucun,Femme,Aucun,,,Nantes,47.2237972 -1.6324407
