motif_contact,mode_contact,domaine,date_creation_affaire,delai_traitement,tranche_age,genre,annee_adhesion,situation_familiale,region_anterieure,region_nouvelle,gamme,libelle_gamme,offre,libelle_offre,formule,libelle_formule,t_centre3,fonctionevo,cible,vague,Recommandation,Premier contact MGEN ?,Votre interlocuteur vous a-t-il semblé tout mettre en œuvre pour répondre à votre demande?,réponse claire,réponse appropriée,réponse complète,Satisfaction globale
Demande d'informations et d'explications,Appel Entrant,06- Santé/Actes médicaux courants,3/3/2016,0,18-24 ans,Féminin,1996,Célibataire,,,,,,,,,Centres d'Appels,Téléconseiller,Téléphone,201610,6,Oui,Oui tout à fait,Oui plutôt,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Email entrant,"08- Dentaire Optique Audioprothèses/Optique - Montures, verres",3/2/2016,0,65 ans et +,Masculin,1966,Divorcé(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,,,,,,,,,Mail,201610,1,Non,,Oui plutôt,Oui plutôt,Non pas du tout,Pas du tout satisfait
Réception de documents,Courrier entrant,01- Gestion du dossier RO/Droits,2/9/2016,22,35-44 ans,Féminin,2009,Marié(e),BOURGOGNE,BOURGOGNE-FRANCHE-COMTE,,,,,,,Centres de Gestion,Gestionnaire prestations services centre de gestion,Courrier,201610,1,Non,,Oui plutôt,Non plutôt pas,Non pas du tout,Pas du tout satisfait
Demande d'informations et d'explications,Appel Entrant,06- Santé/Ostéopathie,3/4/2016,0,55-64 ans,Féminin,1982,Veuf/veuve,AQUITAINE,BRETAGNE,,,,,,,,,Téléphone,201610,8,Oui,Oui tout à fait,Oui plutôt,Oui plutôt,Oui plutôt,Très satisfait
Demande d'informations et d'explications,Email entrant,03- Gestion des coordonnées personnes/Adresse,3/4/2016,3,35-44 ans,Féminin,2011,Séparé(e),PAYS DE LA LOIRE,PAYS DE LA LOIRE,,,,,,,,,Mail,201610,8,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,08- Dentaire Optique Audioprothèses/Dentaire - Prothèses,3/2/2016,5,65 ans et +,Féminin,2007,Marié(e),CHAMPAGNE-ARDENNE,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,,,,,,,,,Mail,201610,5,Non,,Non plutôt pas,Non plutôt pas,Non pas du tout,Pas du tout satisfait
Réception de documents,Courrier entrant,13- Prévoyance/PID,3/2/2016,0,55-64 ans,Féminin,2016,Divorcé(e),CHAMPAGNE-ARDENNE,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,,,,,,,,,Courrier,201610,9,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'information dossier prestation en cours,Courrier entrant,07- Hospitalisation  et soins coûteux/Soins coûteux,1/28/2016,36,65 ans et +,Féminin,1967,Veuf/veuve,LANGUEDOC-ROUSSILLON,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Courrier,201610,5,Non,,Non pas du tout,Non pas du tout,Non pas du tout,Pas du tout satisfait
Demande d'informations et d'explications,Accueil physique,10- Allocations et indemnités/Allocations journalières RC MGEN,2/29/2016,0,55-64 ans,Masculin,1976,Divorcé(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201610,9,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande de documents,Email entrant,02- Gestion du dossier RC/Droits,2/29/2016,3,65 ans et +,Féminin,1964,Marié(e),BRETAGNE,BRETAGNE,,,,,,,,,Mail,201610,6,Oui,,Oui plutôt,Oui plutôt,Non pas du tout,Moyennement satisfait
Demande d'informations et d'explications,Email entrant,04- Cotisations/Calcul de la cotisation,3/1/2016,1,35-44 ans,Féminin,2001,Célibataire,NORD-PAS-DE-CALAIS,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,,,Mail,201610,7,Non,,Oui plutôt,Oui plutôt,Non plutôt pas,Moyennement satisfait
Réclamations particuliers,Appel entrant,06- Santé/Actes médicaux courants,2/10/2016,19,35-44 ans,Féminin,1999,Célibataire,RHONE-ALPES,AUVERGNE-RHONE-ALPES,,,,,,,Centres de Gestion,Technicien prestations services centre de gestion,Réclamation,201610,,,,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Appel Entrant,10- Allocations et indemnités/Allocations journalières RC MGEN,2/29/2016,0,35-44 ans,Féminin,2004,Marié(e),NORD-PAS-DE-CALAIS,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Téléphone,201610,9,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Courrier entrant,13- Prévoyance/Décès,2/29/2016,0,65 ans et +,Féminin,1965,Concubin(e),LANGUEDOC-ROUSSILLON,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,,,Courrier,201610,9,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Appel Entrant,01- Gestion du dossier RO/Droits,3/4/2016,0,55-64 ans,Féminin,1977,Divorcé(e),ILE-DE-FRANCE,ILE-DE-FRANCE,,,,,,,Centres d'Appels,Téléconseiller Spécialiste,Téléphone,201610,10,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Réception de documents,Accueil physique,06- Santé/Arrêts de travail,3/2/2016,1,55-64 ans,Féminin,1982,Célibataire,NORD-PAS-DE-CALAIS,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,Centres de Gestion,Spécialiste prestations services centre de gestion,Accueil physique,201610,9,Oui,Oui tout à fait,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Appel Entrant,04- Cotisations/Ressources,2/23/2016,9,25-34 ans,Féminin,2013,Célibataire,MIDI-PYRENEES,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,Centres de Gestion,Gestionnaire prestations services centre de gestion,Téléphone,201610,2,Non,Non plutôt pas,Oui plutôt,Oui plutôt,Non pas du tout,Pas du tout satisfait
Demande d'informations et d'explications,Appel Entrant,08- Dentaire Optique Audioprothèses/Dentaire - Prothèses,3/1/2016,0,35-44 ans,Féminin,1995,Marié(e),AQUITAINE,BRETAGNE,,,,,,,,,Téléphone,201610,8,Oui,Oui plutôt,Oui tout à fait,Oui plutôt,Oui tout à fait,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Droits,3/2/2016,6,45-54 ans,Féminin,1985,Marié(e),CENTRE,CENTRE-VAL DE LOIRE,,,,,,,,,Mail,201610,5,Non,,Oui tout à fait,Non pas du tout,Non plutôt pas,Peu satisfait
Demande de documents,Appel Entrant,02- Gestion du dossier RC/Droits,3/3/2016,0,45-54 ans,Féminin,2016,Marié(e),MIDI-PYRENEES,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,,,Téléphone,201610,4,Non,Non plutôt pas,Non plutôt pas,Non plutôt pas,Non plutôt pas,Peu satisfait
Demande d'information dossier prestation en cours,Accueil physique,06- Santé/Actes médicaux courants,2/29/2016,0,55-64 ans,Féminin,1989,Divorcé(e),LORRAINE,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201610,9,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Email entrant,06- Santé/Réforme de l'assurance maladie,3/3/2016,0,65 ans et +,Masculin,2016,Marié(e),,,,,,,,,,,Mail,201610,6,Oui,,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Réception de documents,Courrier entrant,06- Santé/Soins à l'étranger,2/26/2016,4,55-64 ans,Masculin,1985,Marié(e),MAYOTTE,MAYOTTE,,,,,,,,,Courrier,201610,4,Non,,Non pas du tout,Non pas du tout,Non pas du tout,Pas du tout satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Droits,3/1/2016,6,65 ans et +,Féminin,1976,Marié(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,,,,,,,,,Mail,201610,5,Oui,,Oui plutôt,Oui plutôt,Oui plutôt,Moyennement satisfait
Proposition de prestations ou de services,Accueil physique,02- Gestion du dossier RC/Création de l'adhésion souscripteur MP,3/2/2016,0,45-54 ans,Féminin,2007,Séparé(e),LANGUEDOC-ROUSSILLON,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201610,10,Oui,Oui tout à fait,Oui plutôt,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Appel Entrant,06- Santé/Actes médicaux courants,3/2/2016,0,65 ans et +,Féminin,1967,Marié(e),RHONE-ALPES,AUVERGNE-RHONE-ALPES,,,,,,,,,Téléphone,201610,10,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande de documents,Appel Entrant,04- Cotisations/Appel de cotisations,1/14/2016,47,65 ans et +,Féminin,1968,Marié(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,,,,,,,Centres de Gestion,Gestionnaire prestations services centre de gestion,Téléphone,201610,7,Non,Non pas du tout,Non pas du tout,Non pas du tout,Non pas du tout,Pas du tout satisfait
Réclamations particuliers,Appel entrant,06- Santé/Actes médicaux courants,3/1/2016,2,65 ans et +,Masculin,2016,Célibataire,RHONE-ALPES,AUVERGNE-RHONE-ALPES,,,,,,,Centres de Gestion,Spécialiste prestations services centre de gestion,Réclamation,201610,,,,,,,Peu satisfait
Réception de documents,Courrier entrant,04- Cotisations/Echéancier,2/29/2016,0,55-64 ans,Féminin,1982,Marié(e),NORD-PAS-DE-CALAIS,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,Centres de Gestion,Gestionnaire prestations services centre de gestion,Courrier,201610,9,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Email entrant,10- Allocations et indemnités/Allocations journalières RC MGEN,1/27/2016,35,55-64 ans,Féminin,1978,Divorcé(e),BOURGOGNE,BOURGOGNE-FRANCHE-COMTE,,,,,,,,,Mail,201610,1,Non,,Oui tout à fait,Non pas du tout,Non pas du tout,Pas du tout satisfait
Réception de documents,Accueil physique,06- Santé/Psychothérapie,2/29/2016,0,45-54 ans,Féminin,1991,Divorcé(e),LANGUEDOC-ROUSSILLON,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201610,10,Oui,Oui tout à fait,Oui plutôt,Non plutôt pas,Non plutôt pas,Plutôt satisfait
Demande d'informations et d'explications,Courrier entrant,04- Cotisations/Echéancier,3/4/2016,0,25-34 ans,Masculin,2016,Célibataire,ALSACE,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,,,,,,,,,Courrier,201610,7,Oui,,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Réclamations particuliers,Appel entrant,03- Gestion des coordonnées personnes/Domiciliation bancaire,2/10/2016,22,45-54 ans,Féminin,1986,Concubin(e),BRETAGNE,BRETAGNE,,,,,,,Centres de Gestion,Gestionnaire prestations services centre de gestion,Réclamation,201610,,,,,,,Pas du tout satisfait
Proposition de prestations ou de services,Accueil physique,15- Offres complémentaires/MGEN Complément Autonomie,6/30/2015,245,55-64 ans,Féminin,1975,Marié(e),NORD-PAS-DE-CALAIS,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201610,9,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Appel Entrant,07- Hospitalisation  et soins coûteux/Hospitalisation,3/4/2016,0,55-64 ans,Féminin,1976,Divorcé(e),LANGUEDOC-ROUSSILLON,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,,,Téléphone,201610,3,Non,Oui tout à fait,Non pas du tout,Non pas du tout,Non pas du tout,Pas du tout satisfait
Demande d'informations et d'explications,Email entrant,06- Santé/Ostéopathie,2/1/2016,31,65 ans et +,Féminin,1965,Marié(e),HAUTE-NORMANDIE,NORMANDIE,,,,,,,,,Mail,201610,8,Non,,Non pas du tout,Non pas du tout,Non pas du tout,Pas du tout satisfait
Réclamations particuliers urgentes,Email entrant,01- Gestion du dossier RO/Noémie,2/24/2016,9,55-64 ans,Féminin,1980,Marié(e),RHONE-ALPES,AUVERGNE-RHONE-ALPES,,,,,,,Centres de Gestion,Spécialiste prestations services centre de gestion,Réclamation,201610,,,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Droits,3/3/2016,0,25-34 ans,Féminin,2014,Célibataire,ILE-DE-FRANCE,ILE-DE-FRANCE,,,,,,,,,Mail,201610,2,Oui,,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Réception de documents,Accueil physique,12- Actions sociales/Aides financières,3/3/2016,0,55-64 ans,Masculin,2004,Marié(e),ILE-DE-FRANCE,ILE-DE-FRANCE,,,,,,,Sections départementales,Délégué,Accueil physique,201610,8,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Réclamations particuliers,Courrier Reçu,06- Santé/Actes médicaux courants,2/22/2016,10,65 ans et +,Féminin,1972,Veuf/veuve,MIDI-PYRENEES,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,,,Réclamation,201610,,,,Non plutôt pas,Oui plutôt,Non plutôt pas,Peu satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Droits,2/25/2016,5,25-34 ans,Féminin,2013,Marié(e),PAYS DE LA LOIRE,PAYS DE LA LOIRE,,,,,,,,,Mail,201610,7,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Email entrant,01- Gestion du dossier RO/Créances PF et franchises,3/1/2016,1,35-44 ans,Féminin,2004,Célibataire,RHONE-ALPES,AUVERGNE-RHONE-ALPES,,,,,,,,,Mail,201610,1,Oui,,Oui plutôt,Oui tout à fait,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Accueil physique,01- Gestion du dossier RO/Mise à jour,3/2/2016,0,45-54 ans,Féminin,2007,Marié(e),RHONE-ALPES,AUVERGNE-RHONE-ALPES,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201610,7,Oui,Oui plutôt,Oui plutôt,Oui plutôt,Oui plutôt,Moyennement satisfait
Demande d'informations et d'explications,Email entrant,14- Autonomie/Handicap,3/3/2016,0,55-64 ans,Féminin,1980,Marié(e),LIMOUSIN,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,,,,,,,,,Mail,201610,9,Oui,,Oui plutôt,Oui tout à fait,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,06- Santé/Accidents,2/8/2016,23,55-64 ans,Féminin,1993,Marié(e),BASSE-NORMANDIE,NORMANDIE,,,,,,,,,Mail,201610,5,Oui,,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Appel Entrant,"08- Dentaire Optique Audioprothèses/Optique - Montures, verres",3/2/2016,0,65 ans et +,Féminin,1965,Marié(e),RHONE-ALPES,AUVERGNE-RHONE-ALPES,,,,,,,Centres d'Appels,Téléconseiller,Téléphone,201610,9,Oui,Oui tout à fait,Oui plutôt,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Appel Entrant,06- Santé/Actes médicaux courants,3/3/2016,0,55-64 ans,Féminin,1967,Marié(e),ALSACE,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,,,,,,,,,Téléphone,201610,5,Oui,Oui tout à fait,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Droits,2/28/2016,1,65 ans et +,Masculin,1973,Marié(e),AQUITAINE,BRETAGNE,,,,,,,,,Mail,201610,10,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Plutôt satisfait
Démission  volontaire,Appel Entrant,02- Gestion du dossier RC/Résiliation,3/3/2016,0,18-24 ans,Masculin,1987,Célibataire,ILE-DE-FRANCE,ILE-DE-FRANCE,,,,,,,Centres d'Appels,Conseiller développement et fidélisation en centre d'appels,Téléphone,201610,1,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Réclamations particuliers,Appel entrant,08- Dentaire Optique Audioprothèses/Dentaire - Soins courants,2/23/2016,9,35-44 ans,Féminin,2009,Marié(e),ILE-DE-FRANCE,ILE-DE-FRANCE,,,,,,,Centres de Gestion,Spécialiste prestations services centre de gestion,Réclamation,201610,,,,,,,Pas du tout satisfait
Demande d'informations et d'explications,Email entrant,01- Gestion du dossier RO/Noémie,3/2/2016,1,65 ans et +,Masculin,2016,Marié(e),,,,,,,,,,,Mail,201610,1,Non,,Non pas du tout,Non pas du tout,Non pas du tout,Pas du tout satisfait
Demande d'informations et d'explications,Email entrant,13- Prévoyance/Décès,3/4/2016,0,65 ans et +,Masculin,1969,Veuf/veuve,LANGUEDOC-ROUSSILLON,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,,,Mail,201610,3,Oui,,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Réclamations particuliers,Courrier Reçu,06- Santé/Actes médicaux courants,2/16/2016,14,45-54 ans,Féminin,1982,Veuf/veuve,NORD-PAS-DE-CALAIS,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,Centres de Gestion,Spécialiste prestations services centre de gestion,Réclamation,201610,,,,Oui plutôt,Oui plutôt,Oui plutôt,Moyennement satisfait
Demande d'informations et d'explications,Courrier entrant,06- Santé/Actes médicaux courants,2/24/2016,6,65 ans et +,Féminin,1970,Marié(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,,,,,,,Centres de Gestion,Spécialiste prestations services centre de gestion,Courrier,201610,2,Oui,,Non plutôt pas,Non plutôt pas,Non plutôt pas,Moyennement satisfait
Demande d'informations et d'explications,Appel Entrant,06- Santé/Actes médicaux courants,3/2/2016,0,65 ans et +,Féminin,1973,Divorcé(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,,,,,,,,,Téléphone,201610,6,Non,Non pas du tout,Non pas du tout,Non pas du tout,Non pas du tout,Peu satisfait
Demande d'informations et d'explications,Appel Entrant,07- Hospitalisation  et soins coûteux/Hospitalisation,3/2/2016,0,35-44 ans,Féminin,2005,Pacsé(e),AQUITAINE,BRETAGNE,,,,,,,,,Téléphone,201610,2,Non,Non plutôt pas,Oui tout à fait,Non pas du tout,Non plutôt pas,Pas du tout satisfait
Réception de documents,Accueil physique,06- Santé/Arrêts de travail,3/2/2016,0,35-44 ans,Féminin,2011,Marié(e),PAYS DE LA LOIRE,PAYS DE LA LOIRE,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201610,9,Oui,Oui tout à fait,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Réception de documents,Courrier entrant,01- Gestion du dossier RO/Mise à jour,3/1/2016,0,45-54 ans,Masculin,1998,Pacsé(e),MAYOTTE,MAYOTTE,,,,,,,Centres de Gestion,Spécialiste prestations services centre de gestion,Courrier,201610,3,Oui,,Non plutôt pas,Oui plutôt,Non plutôt pas,Moyennement satisfait
Réception de documents,Courrier entrant,10- Allocations et indemnités/Allocations journalières RC MGEN,2/12/2016,20,35-44 ans,Féminin,2012,Marié(e),LANGUEDOC-ROUSSILLON,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,Sections départementales,Spécialiste prestations services réseau,Courrier,201610,9,Oui,,Oui plutôt,Oui plutôt,Oui plutôt,Très satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Droits,3/2/2016,5,55-64 ans,Masculin,1973,Marié(e),ILE-DE-FRANCE,ILE-DE-FRANCE,,,,,,,,,Mail,201610,7,Non,,Oui tout à fait,Non pas du tout,Non pas du tout,Peu satisfait
Demande d'informations et d'explications,Email entrant,12- Actions sociales/Services d'Aide à Domicile,3/2/2016,2,45-54 ans,Féminin,2001,Marié(e),,,,,,,,,,,Mail,201610,6,Non,,Oui plutôt,Non pas du tout,Oui plutôt,Moyennement satisfait
Réclamations particuliers,Appel entrant,06- Santé/Actes médicaux courants,2/18/2016,15,65 ans et +,Féminin,1969,Veuf/veuve,RHONE-ALPES,AUVERGNE-RHONE-ALPES,,,,,,,,,Réclamation,201610,,,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Réclamations particuliers,Appel entrant,02- Gestion du dossier RC/Mise à jour,2/16/2016,14,55-64 ans,Féminin,1976,Marié(e),LANGUEDOC-ROUSSILLON,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,Sections départementales,Responsable d'équipe réseau,Réclamation,201610,,,,,,,Pas du tout satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Droits,3/4/2016,3,65 ans et +,Féminin,1966,Marié(e),AUVERGNE,AUVERGNE-RHONE-ALPES,,,,,,,,,Mail,201610,10,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Réception de documents,Courrier entrant,06- Santé/Soins à l'étranger,3/1/2016,0,65 ans et +,Féminin,1994,Veuf/veuve,ILE-DE-FRANCE,ILE-DE-FRANCE,,,,,,,Sections départementales,Spécialiste prestations services réseau,Courrier,201610,10,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Accueil physique,02- Gestion du dossier RC/Mise à jour,3/3/2016,0,65 ans et +,Féminin,1991,Séparé(e),RHONE-ALPES,AUVERGNE-RHONE-ALPES,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201610,8,Oui,Oui plutôt,Oui tout à fait,Oui tout à fait,Oui tout à fait,Plutôt satisfait
Proposition de prestations ou de services,Accueil physique,11- Aides au logement/Assurance emprunteurs (décès),3/2/2016,0,45-54 ans,Féminin,1982,Marié(e),HAUTE-NORMANDIE,NORMANDIE,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201610,4,Oui,Oui plutôt,Oui plutôt,Oui plutôt,Non plutôt pas,Moyennement satisfait
Demande d'informations et d'explications,Appel Entrant,10- Allocations et indemnités/Allocations journalières RC MGEN,2/18/2016,12,25-34 ans,Féminin,2009,Concubin(e),BOURGOGNE,BOURGOGNE-FRANCHE-COMTE,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Téléphone,201610,6,Oui,Non plutôt pas,Non plutôt pas,Non plutôt pas,Non pas du tout,Moyennement satisfait
Demande d'informations et d'explications,Appel Entrant,06- Santé/Prise en charge,3/2/2016,0,65 ans et +,Masculin,1967,Marié(e),MIDI-PYRENEES,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,,,Téléphone,201610,8,Oui,Oui plutôt,Oui tout à fait,Oui tout à fait,Oui tout à fait,Plutôt satisfait
Réception de documents,Courrier entrant,01- Gestion du dossier RO/Mise à jour,2/29/2016,0,55-64 ans,Féminin,1972,Marié(e),ILE-DE-FRANCE,ILE-DE-FRANCE,,,,,,,Sections départementales,Assistant prestations service réseau,Courrier,201610,9,Oui,,Oui plutôt,Oui tout à fait,Oui plutôt,Très satisfait
